,precision,recall,f1-score,support
facebook,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
instagram,0.92,0.9583333333333334,0.9387755102040817,24.0
orig,1.0,1.0,1.0,24.0
telegram,1.0,0.9583333333333334,0.9787234042553191,24.0
twitter,1.0,0.9583333333333334,0.9787234042553191,24.0
whatsapp,0.96,1.0,0.9795918367346939,24.0
accuracy,0.9652777777777778,0.9652777777777778,0.9652777777777778,0.9652777777777778
macro avg,0.9661111111111111,0.9652777777777778,0.9654134703526801,144.0
weighted avg,0.9661111111111111,0.9652777777777778,0.9654134703526801,144.0
